Cycle,SD,FP,FZ,FailedZoneValue,FailedZoneDiff
1268,2.77345285808,-13.7910886752,11559,0.0513363,-2.24860898682
1269,2.77347173602,-13.79113213,11559,0.0513363,-2.24856553203
1270,2.77349060895,-13.7911755881,11559,0.0513363,-2.24852207387
1271,2.773509478,-13.7912190496,11559,0.0513363,-2.24847861238
1272,2.77352834556,-13.7912625124,11559,0.0513363,-2.24843514962
1273,2.77354720877,-13.7913059787,11559,0.0513363,-2.24839168334
1274,2.77356606547,-13.7913494471,11559,0.0513363,-2.24834821488
1275,2.77358492101,-13.7913929169,11559,0.0513363,-2.24830474511
1276,2.7736037711,-13.79143639,11559,0.0513363,-2.24826127577
1277,2.77362262364,-13.7914798641,11559,0.0513363,-2.24821780166
1278,2.77364147001,-13.7915233412,11559,0.0513363,-2.24817432449
1279,2.77366031011,-13.7915668217,11559,0.0513363,-2.24813084406
1280,2.77367914678,-13.7916103034,11559,0.0513363,-2.24808736236
1281,2.77369798038,-13.7916537868,11559,0.0513363,-2.24804387888
1282,2.77371680915,-13.7916972742,11559,0.0513363,-2.24800039148
1283,2.77373563291,-13.7917407643,11559,0.0513363,-2.24795690145
1284,2.77375445354,-13.7917842562,11559,0.0513363,-2.24791340951
1285,2.77377327055,-13.7918277495,11559,0.0513363,-2.24786991619
1286,2.77379208607,-13.7918712455,11559,0.0513363,-2.24782642027
1287,2.77381089614,-13.7919147442,11559,0.0513363,-2.24778292149
1288,2.77382970268,-13.7919582457,11559,0.0513363,-2.2477394237
1289,2.77384850531,-13.7920017494,11559,0.0513363,-2.24769592008
1290,2.77386730567,-13.7920452554,11559,0.0513363,-2.24765241408
1291,2.77388609885,-13.7920887653,11559,0.0513363,-2.24760890416
1292,2.77390488616,-13.7921322784,11559,0.0513363,-2.24756539105
1293,2.77392367074,-13.7921757939,11559,0.0513363,-2.24752187559
1294,2.77394245372,-13.7922193108,11559,0.0513363,-2.24747835862
1295,2.77396122892,-13.7922609246,11559,0.0513363,-2.24743483751
1296,2.77398000137,-13.7923044482,11559,0.0513363,-2.24739131385
1297,2.77399876863,-13.7923479746,11559,0.0513363,-2.24734778754
1298,2.77401752848,-13.7923915058,11559,0.0513363,-2.24730425627
1299,2.7740362882,-13.7924350376,11559,0.0513363,-2.24726072822
1300,2.77405504,-13.7924785738,11559,0.0513363,-2.247217192
1301,2.77407378972,-13.7925221136,11559,0.0513363,-2.24717365225
1302,2.77409253501,-13.7925656563,11559,0.0513363,-2.24713010951
1303,2.77411127682,-13.7926092013,11559,0.0513363,-2.24708656449
1304,2.77413001018,-13.79265275,11559,0.0513363,-2.24704301578
1305,2.77414874157,-13.7926963028,11559,0.0513363,-2.24699946304
1306,2.77416746963,-13.7927398584,11559,0.0513363,-2.24695590744
1307,2.77418619587,-13.792783416,11559,0.0513363,-2.24691234983
1308,2.7742049146,-13.7928269788,11559,0.0513363,-2.24686878705
1309,2.77422362668,-13.7928705449,11559,0.0513363,-2.24682522465
1310,2.77424232958,-13.7929141154,11559,0.0513363,-2.24678165418
1311,2.77426102929,-13.7929576881,11559,0.0513363,-2.24673808142
1312,2.77427972689,-13.7930012651,11559,0.0513363,-2.24669450443
1313,2.77429841724,-13.7930448462,11559,0.0513363,-2.24665092334
1314,2.77431710474,-13.7930884308,11559,0.0513363,-2.24660733879
1315,2.77433578907,-13.7931320183,11559,0.0513363,-2.2465637513
1316,2.77435446938,-13.7931756094,11559,0.0513363,-2.24652016019
1317,2.77437314416,-13.7932192049,11559,0.0513363,-2.24647656467
1318,2.77439181375,-13.7932628045,11559,0.0513363,-2.24643296509
1319,2.77441048263,-13.7933064063,11559,0.0513363,-2.24638936693
1320,2.77442914594,-13.7933500125,11559,0.0513363,-2.24634576074
1321,2.77444780231,-13.7933936226,11559,0.0513363,-2.24630215066
1322,2.77446645642,-13.793437236,11559,0.0513363,-2.24625853724
1323,2.774485102,-13.7934808552,11559,0.0513363,-2.24621491808
1324,2.77450374333,-13.7935244778,11559,0.0513363,-2.2461712955
1325,2.77452238215,-13.793568104,11559,0.0513363,-2.24612766928
1326,2.77454101779,-13.7936117335,11559,0.0513363,-2.24608403978
1327,2.77455964626,-13.7936553685,11559,0.0513363,-2.24604040479
1328,2.77457827075,-13.7936990059,11559,0.0513363,-2.24599676737
1329,2.77459689382,-13.7937426479,11559,0.0513363,-2.24595312907
1330,2.77461550847,-13.7937862943,11559,0.0513363,-2.24590948268
1331,2.77463412099,-13.7938299442,11559,0.0513363,-2.24586583279
1332,2.7746527268,-13.7938735995,11559,0.0513363,-2.24582217752
1333,2.77467133256,-13.7939172571,11559,0.0513363,-2.24577851991
1334,2.77468993068,-13.7939609194,11559,0.0513363,-2.24573485762
1335,2.77470852576,-13.7940045859,11559,0.0513363,-2.2456911911
1336,2.77472711644,-13.7940482574,11559,0.0513363,-2.24564751962
1337,2.77474570094,-13.7940919322,11559,0.0513363,-2.2456038448
1338,2.77476428121,-13.7941356118,11559,0.0513362,-2.24556016888
1339,2.77478285925,-13.7941792952,11559,0.0513362,-2.24551648557
1340,2.77480143297,-13.7942229822,11559,0.0513362,-2.24547279852
1341,2.77482000191,-13.7942666738,11559,0.0513362,-2.24542910689
1342,2.7748385644,-13.7943103703,11559,0.0513362,-2.24538541039
1343,2.77485712315,-13.7943540707,11559,0.0513362,-2.24534170998
1344,2.77487567846,-13.7943977751,11559,0.0513362,-2.24529800565
1345,2.77489423045,-13.7944414829,11559,0.0513362,-2.24525429785
1346,2.77491278056,-13.7944851951,11559,0.0513362,-2.24521058558
1347,2.77493132434,-13.794528912,11559,0.0513362,-2.24516686873
1348,2.77494986538,-13.7945726325,11559,0.0513362,-2.24512315197
1349,2.7749684026,-13.7946163578,11559,0.0513362,-2.24507942664
1350,2.77498693392,-13.7946600872,11559,0.0513362,-2.24503569726
1351,2.77500546166,-13.7947038208,11559,0.0513362,-2.24499196369
1352,2.77502398451,-13.7947475586,11559,0.0513362,-2.24494822583
1353,2.77504250546,-13.7947912998,11559,0.0513362,-2.2449044846
1354,2.7750610225,-13.7948350452,11559,0.0513362,-2.24486073925
1355,2.77507953497,-13.7948787952,11559,0.0513362,-2.24481698928
1356,2.77509804115,-13.7949225498,11559,0.0513362,-2.2447732346
1357,2.77511654485,-13.7949663078,11559,0.0513362,-2.24472947668
1358,2.77513504689,-13.7950100691,11559,0.0513362,-2.24468571539
1359,2.77515354393,-13.7950538349,11559,0.0513362,-2.24464195325
1360,2.77517203699,-13.7950976048,11559,0.0513362,-2.24459818341
1361,2.77519052796,-13.7951413777,11559,0.0513362,-2.2445544105
1362,2.77520901476,-13.7951851541,11559,0.0513362,-2.24451063405
1363,2.7752274985,-13.795228934,11559,0.0513362,-2.24446685417
1364,2.77524597664,-13.7952727176,11559,0.0513362,-2.24442307053
1365,2.77526444999,-13.7953165057,11559,0.0513362,-2.24437928251
1366,2.77528292161,-13.7953602969,11559,0.0513362,-2.24433549123
1367,2.77530139001,-13.7954040913,11559,0.0513362,-2.24429169691
1368,2.77531985564,-13.7954478893,11559,0.0513362,-2.24424789884
1369,2.77533831827,-13.7954916902,11559,0.0513362,-2.24420410169
1370,2.77535677518,-13.7955354948,11559,0.0513362,-2.24416029711
1371,2.77537522642,-13.7955793028,11559,0.0513362,-2.24411648911
1372,2.77539367959,-13.7956231133,11559,0.0513362,-2.24407267859
1373,2.77541212714,-13.7956669273,11559,0.0513362,-2.24402886462
1374,2.77543056997,-13.7957107448,11559,0.0513362,-2.24398504713
1375,2.775449008,-13.7957545656,11559,0.0513362,-2.24394122633
1376,2.77546744215,-13.7957983896,11559,0.0513362,-2.2438974023
1377,2.77548587718,-13.795842215,11559,0.0513362,-2.24385357686
1378,2.77550430604,-13.7958860442,11559,0.0513362,-2.24380974771
1379,2.77552273207,-13.7959298762,11559,0.0513362,-2.24376591568
1380,2.77554115172,-13.7959737122,11559,0.0513362,-2.24372207973
1381,2.77555956945,-13.7960175496,11559,0.0513362,-2.243678246
1382,2.77557798319,-13.796061391,11559,0.0513362,-2.24363440459
