zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6588,1.67985,6590,3.01713,6597,3.01703,0,92.8297,6629,0.59529,6568,0.59529,6568,0.998781,7082,0.998781,0.998781
713,3.64557,7089,1.68011,7089,3.01737,6533,3.01729,0,92.9273,6571,0.595197,7089,0.595197,7089,0.998695,6482,0.998695,0.998695
714,3.64752,7089,1.6804,7089,3.01768,7089,3.01755,0,93.0244,6421,0.595095,7089,0.595095,7089,0.998607,6287,0.998607,0.998607
715,3.64958,7089,1.68071,7089,3.01802,7089,3.01782,0,93.1211,6158,0.594986,7089,0.594986,7089,0.998517,5976,0.998517,0.998517
716,3.65164,7089,1.68102,7089,3.01837,7089,3.0181,0,93.2176,5814,0.594878,7088,0.594878,7088,0.998424,5697,0.998424,0.998424
717,3.65353,7032,1.6813,7024,3.01868,7083,3.01838,0,93.3136,5452,0.594778,7024,0.594778,7024,0.998328,5423,0.998328,0.998328
718,3.65526,6880,1.68156,6880,3.01889,6910,3.01868,0,93.4131,7089,0.594687,6876,0.594687,6876,0.998226,7089,0.998226,0.998226
719,3.65685,4331,1.68179,4306,3.01902,6708,3.01899,0,93.5388,7089,0.594604,4291,0.594604,4291,0.998093,7089,0.998093,0.998093
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.6837,7089,0.594491,3160,0.594491,3160,0.997934,7089,0.997934,0.997934
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7809,7089,0.594376,2831,0.594376,2831,0.997824,7089,0.997824,0.997824
722,3.66346,2043,1.68277,0,3.01995,0,3.01995,0,93.8933,6050,0.594257,0,0.594257,0,0.997692,6033,0.997692,0.997692
723,3.67049,7089,1.68382,7089,3.02128,7089,3.02029,0,94.1573,6187,0.593888,7089,0.593888,7089,0.997369,6186,0.997369,0.997369
724,3.69122,6515,1.68689,6508,3.03281,6488,3.03259,0,92.8296,6491,0.592805,6523,0.592805,6523,0.99878,7025,0.99878,0.99878
725,3.69303,7018,1.68716,7011,3.03307,6489,3.03285,0,92.9276,6476,0.592711,7005,0.592711,7005,0.998695,6523,0.998695,0.998695
726,3.69503,7079,1.68746,7083,3.03337,7065,3.03311,0,93.0251,6327,0.592607,7073,0.592607,7073,0.998607,6395,0.998607,0.998607
727,3.69705,7039,1.68776,7035,3.0337,7064,3.03338,0,93.1223,6140,0.592502,7031,0.592502,7031,0.998516,6007,0.998516,0.998516
728,3.69899,6950,1.68804,6941,3.03402,6989,3.03366,0,93.2193,5897,0.592401,6943,0.592401,6943,0.998422,5777,0.998422,0.998422
729,3.70082,6842,1.68832,6842,3.03428,6877,3.03395,0,93.3157,5702,0.592306,6834,0.592306,6834,0.998326,5704,0.998326,0.998326
730,3.70246,6719,1.68856,6711,3.03448,6747,3.03425,0,93.429,7089,0.592221,6712,0.592221,6712,0.99821,7089,0.99821,0.99821
731,3.70403,4943,1.68879,4937,3.0346,5102,3.03456,0,93.565,7089,0.59214,4940,0.59214,4940,0.998065,7089,0.998065,0.998065
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.7102,7089,0.592031,2998,0.592031,2998,0.997904,7089,0.997904,0.997904
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7803,6984,0.591916,0,0.591916,0,0.997824,7089,0.997824,0.997824
734,3.71064,1779,1.68977,0,3.03553,0,3.03553,0,93.9114,5984,0.591797,0,0.591797,0,0.997671,5967,0.997671,0.997671
735,3.72144,7089,1.69137,7089,3.03811,7089,3.03587,0,94.174,6106,0.591238,7089,0.591238,7089,0.997348,6085,0.997348,0.997348
736,3.73954,6410,1.69404,6417,3.0487,6376,3.04831,0,92.8279,6355,0.590305,6408,0.590305,6408,0.998781,6381,0.998781,0.998781
737,3.74149,6495,1.69433,6471,3.049,6420,3.04857,0,92.9263,6310,0.590205,6486,0.590205,6486,0.998695,6373,0.998695,0.998695
738,3.74359,6829,1.69464,6824,3.04931,6759,3.04883,0,93.0244,6222,0.590097,6821,0.590097,6821,0.998606,6273,0.998606,0.998606
739,3.7457,6812,1.69495,6801,3.04965,6808,3.04911,0,93.1226,6056,0.589988,6809,0.589988,6809,0.998515,6038,0.998515,0.998515
740,3.74773,6730,1.69525,6734,3.04997,6767,3.04939,0,93.2208,5862,0.589884,6722,0.589884,6722,0.99842,5803,0.99842,0.99842
741,3.74958,6604,1.69552,6603,3.05023,6668,3.04968,0,93.3234,7089,0.58979,6589,0.58979,6589,0.998318,7088,0.998318,0.998318
