zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6584,1.67985,6595,3.01713,6588,3.01703,0,92.8298,6680,0.59529,6563,0.59529,6563,0.99878,7262,0.99878,0.99878
713,3.64566,7328,1.68013,7327,3.01738,7273,3.01729,0,92.9275,6597,0.595193,7317,0.595193,7317,0.998695,6514,0.998695,0.998695
714,3.64772,7385,1.68043,7379,3.01774,7458,3.01755,0,93.0244,6410,0.595084,7371,0.595084,7371,0.998607,6377,0.998607,0.998607
715,3.64975,7298,1.68074,7290,3.0181,7364,3.01782,0,93.1211,6022,0.594977,7292,0.594977,7292,0.998517,6000,0.998517,0.998517
716,3.65168,7178,1.68102,7168,3.01841,7230,3.0181,0,93.2176,5732,0.594876,7176,0.594876,7176,0.998424,5674,0.998424,0.998424
717,3.65348,7018,1.68129,7011,3.01866,7077,3.01838,0,93.3256,7497,0.594781,7020,0.594781,7020,0.998316,7497,0.998316,0.998316
718,3.65519,6875,1.68155,6872,3.01886,6905,3.01868,0,93.456,7497,0.594691,6868,0.594691,6868,0.998181,7497,0.998181,0.998181
719,3.65685,4331,1.68179,4306,3.01903,6714,3.01899,0,93.6006,7497,0.594604,4291,0.594604,4291,0.998026,7497,0.998026,0.998026
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.7552,7497,0.594491,3160,0.594491,3160,0.997853,7497,0.997853,0.997853
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7876,7152,0.594376,2831,0.594376,2831,0.997816,7261,0.997816,0.997816
722,3.66793,7497,1.68344,7497,3.02155,7497,3.01995,0,93.8932,6056,0.594022,7497,0.594022,7497,0.997692,6032,0.997692,0.997692
723,3.68387,7497,1.6858,7497,3.02599,7497,3.02029,0,94.1575,6186,0.593189,7497,0.593189,7497,0.997369,6168,0.997369,0.997369
724,3.69122,6522,1.68689,6503,3.03281,6499,3.03259,0,92.8296,6535,0.592806,6497,0.592806,6497,0.99878,7131,0.99878,0.99878
725,3.69304,7027,1.68716,7021,3.03307,6483,3.03285,0,92.9277,6490,0.592711,7023,0.592711,7023,0.998695,6546,0.998695,0.998695
726,3.69506,7089,1.68746,7087,3.03338,7089,3.03311,0,93.0251,6299,0.592606,7088,0.592606,7088,0.998607,6327,0.998607,0.998607
727,3.69708,7039,1.68776,7038,3.03372,7071,3.03338,0,93.1223,6010,0.592501,7036,0.592501,7036,0.998516,5908,0.998516,0.998516
728,3.69899,6944,1.68805,6945,3.03402,6992,3.03366,0,93.2192,5763,0.592401,6944,0.592401,6944,0.998422,5716,0.998422,0.998422
729,3.70078,6835,1.68831,6826,3.03427,6870,3.03395,0,93.3384,7497,0.592308,6823,0.592308,6823,0.998303,7497,0.998303,0.998303
730,3.7024,6710,1.68855,6704,3.03445,6736,3.03425,0,93.4765,7497,0.592224,6704,0.592224,6704,0.99816,7497,0.99816,0.99816
731,3.70403,4943,1.68879,4937,3.0346,5101,3.03456,0,93.6166,7497,0.59214,4940,0.59214,4940,0.998008,7497,0.998008,0.998008
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.748,7378,0.592031,2998,0.592031,2998,0.997861,7375,0.997861,0.997861
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7859,6995,0.591916,0,0.591916,0,0.997817,7135,0.997817,0.997817
734,3.72542,7497,1.69195,7497,3.04022,7497,3.03553,0,93.9113,5984,0.591033,7497,0.591033,7497,0.997671,5973,0.997671,0.997671
735,3.74452,7497,1.69477,7497,3.04592,7497,3.03587,0,94.1742,6102,0.590049,7497,0.590049,7497,0.997347,6090,0.997347,0.997347
736,3.73954,6414,1.69404,6411,3.0487,6375,3.04831,0,92.828,6361,0.590305,6387,0.590305,6387,0.998781,6518,0.998781,0.998781
737,3.74149,6659,1.69433,6656,3.049,6408,3.04857,0,92.9264,6362,0.590205,6605,0.590205,6605,0.998695,6446,0.998695,0.998695
738,3.7436,6841,1.69464,6833,3.04932,6791,3.04883,0,93.0245,6192,0.590096,6841,0.590096,6841,0.998606,6210,0.998606,0.998606
739,3.74573,6814,1.69495,6813,3.04966,6818,3.04911,0,93.1225,5914,0.589987,6807,0.589987,6807,0.998515,5908,0.998515,0.998515
740,3.74774,6722,1.69525,6719,3.04998,6754,3.04939,0,93.2207,5751,0.589884,6716,0.589884,6716,0.99842,5756,0.99842,0.99842
741,3.74955,6591,1.69552,6583,3.05022,6631,3.04968,0,93.3315,7268,0.589791,6582,0.589791,6582,0.99831,7257,0.99831,0.99831
742,3.75107,6391,1.69574,6385,3.05036,6455,3.04998,0,93.4654,7337,0.589713,6368,0.589713,6368,0.998171,7335,0.998171,0.998171
743,3.75249,5329,1.69595,5319,3.05047,5379,3.05029,0,93.5973,7295,0.58964,5338,0.58964,5338,0.99803,7289,0.99803,0.99803
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.7299,7163,0.589561,3827,0.589561,3827,0.997881,7323,0.997881,0.997881
745,3.7712,7497,1.69871,7497,3.05404,7497,3.05093,0,93.7886,6794,0.588684,7497,0.588684,7497,0.997815,6788,0.997815,0.997815
746,3.8007,7497,1.70304,7497,3.06401,7497,3.05127,0,93.9311,5897,0.587185,7497,0.587185,7497,0.997647,5892,0.997647,0.997647
747,3.82562,7497,1.7067,7497,3.07147,7497,3.05161,0,94.1955,6030,0.585928,7497,0.585928,7497,0.99732,5999,0.99732,0.99732
748,3.78847,6337,1.70125,6335,3.06474,6300,3.0642,0,92.8268,0,0.587805,6323,0.587805,6323,0.998783,3095,0.998783,0.998783
749,3.79065,6456,1.70157,6451,3.0651,6325,3.06446,0,92.9241,0,0.587694,6468,0.587694,6468,0.998698,6258,0.998698,0.998698
750,3.79306,6645,1.70192,6648,3.06549,6539,3.06472,0,93.0214,3076,0.587572,6632,0.587572,6632,0.998609,6224,0.998609,0.998609
751,3.79553,6625,1.70228,6624,3.06592,6587,3.065,0,93.1187,3039,0.587447,6611,0.587447,6611,0.998517,6058,0.998517,0.998517
752,3.79795,6535,1.70264,6527,3.06633,6536,3.06528,0,93.216,3036,0.587324,6534,0.587324,6534,0.998422,5769,0.998422,0.998422
753,3.80025,6388,1.70298,6390,3.06667,6401,3.06557,0,93.3271,6956,0.587207,6376,0.587207,6376,0.998314,6943,0.998314,0.998314
754,3.80232,6134,1.70328,6133,3.06692,6137,3.06587,0,93.4528,7004,0.587103,6135,0.587103,6135,0.998185,6997,0.998185,0.998185
755,3.80822,7497,1.70414,7497,3.06749,7497,3.06618,0,93.5788,6997,0.586805,7497,0.586805,7497,0.99805,6995,0.99805,0.99805
756,3.83418,7497,1.70795,7497,3.07358,7497,3.0665,0,93.7221,6909,0.585497,7497,0.585497,7497,0.997891,6904,0.997891,0.997891
757,3.8751,7497,1.71393,7497,3.08499,7497,3.06683,0,93.8189,6621,0.583455,7497,0.583455,7497,0.99778,6612,0.99778,0.99778
758,3.9184,7497,1.72023,7497,3.09928,7497,3.06717,0,93.9804,5849,0.581317,7497,0.581317,7497,0.997588,5837,0.997588,0.997588
759,3.93235,7497,1.72226,7497,3.10621,7497,3.06751,0,94.2096,5814,0.580633,7497,0.580633,7497,0.997302,5808,0.997302,0.997302
760,3.83604,6215,1.70822,6200,3.08047,6190,3.08025,0,92.8268,0,0.585404,6198,0.585404,6198,0.998783,0,0.998783,0.998783
761,3.83826,6234,1.70855,6226,3.08086,6212,3.08051,0,92.9241,0,0.585293,6224,0.585293,6224,0.998698,0,0.998698,0.998698
762,3.84079,6435,1.70892,6424,3.08132,6337,3.08078,0,93.0214,0,0.585166,6417,0.585166,6417,0.99861,0,0.99861,0.99861
763,3.84365,6448,1.70933,6442,3.08186,6412,3.08105,0,93.1187,0,0.585023,6444,0.585023,6444,0.998519,0,0.998519,0.998519
764,3.84664,6336,1.70977,6335,3.08243,6327,3.08134,0,93.216,0,0.584873,6325,0.584873,6325,0.998425,0,0.998425,0.998425
765,3.84969,6223,1.71022,6218,3.08298,6227,3.08163,0,93.3132,0,0.584721,6216,0.584721,6216,0.998329,0,0.998329,0.998329
766,3.86293,7497,1.71215,7497,3.08527,7497,3.08193,0,93.4118,6751,0.58406,7497,0.58406,7497,0.998228,6754,0.998228,0.998228
767,3.89811,7497,1.71728,7497,3.09415,7497,3.08225,0,93.5266,6732,0.582316,7497,0.582316,7497,0.998103,6918,0.998103,0.998103
768,3.95416,7497,1.72542,7497,3.10886,7497,3.08257,0,93.6689,6667,0.579569,7497,0.579569,7497,0.997944,6861,0.997944,0.997944
769,4.04268,7497,1.7382,7497,3.13242,7497,3.0829,0,93.7988,6442,0.575308,7497,0.575308,7497,0.997803,6432,0.997803,0.997803
770,4.13425,7497,1.75132,7497,3.15762,7497,3.08323,0,94.0209,5794,0.570997,7497,0.570997,7497,0.997539,5785,0.997539,0.997539
771,4.12157,7497,1.74951,7497,3.1589,7497,3.08358,0,94.3732,5875,0.571589,7497,0.571589,7497,0.997089,5858,0.997089,0.997089
772,0.76715,7497,1.17625,7497,1.34265,7497,1.07425,0,117.609,7497,0.850156,7497,0.850156,7497,0.886131,7497,0.886131,0.886131
