zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6601,1.67985,6582,3.01713,6583,3.01703,0,92.8298,6705,0.59529,6593,0.59529,6593,0.99878,7157,0.99878,0.99878
713,3.64562,7189,1.68012,7189,3.01738,7187,3.01729,0,92.9275,6598,0.595195,7187,0.595195,7187,0.998695,6530,0.998695,0.998695
714,3.64764,7189,1.68042,7189,3.01771,7189,3.01755,0,93.0244,6400,0.595089,7188,0.595089,7188,0.998607,6371,0.998607,0.998607
715,3.6497,7189,1.68073,7189,3.01807,7189,3.01782,0,93.1211,6049,0.59498,7188,0.59498,7188,0.998517,6021,0.998517,0.998517
716,3.65168,7177,1.68102,7171,3.0184,7189,3.0181,0,93.2176,5757,0.594876,7170,0.594876,7170,0.998424,5669,0.998424,0.998424
717,3.65349,7021,1.68129,7014,3.01866,7076,3.01838,0,93.3136,5405,0.594781,7011,0.594781,7011,0.998328,5154,0.998328,0.998328
718,3.65519,6876,1.68155,6872,3.01886,6909,3.01868,0,93.4216,7189,0.594691,6874,0.594691,6874,0.998217,7189,0.998217,0.998217
719,3.65685,4331,1.68179,4306,3.01903,6715,3.01899,0,93.5455,7189,0.594604,4291,0.594604,4291,0.998086,7189,0.998086,0.998086
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.7055,7189,0.594491,3160,0.594491,3160,0.997909,7189,0.997909,0.997909
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7877,7152,0.594376,2831,0.594376,2831,0.997816,7147,0.997816,0.997816
722,3.66346,2042,1.68277,0,3.01995,0,3.01995,0,93.8932,6053,0.594257,0,0.594257,0,0.997692,6037,0.997692,0.997692
723,3.67327,7189,1.68423,7189,3.02234,7189,3.02029,0,94.1575,6182,0.593743,7189,0.593743,7189,0.997369,6160,0.997369,0.997369
724,3.69122,6515,1.68689,6524,3.03281,6496,3.03259,0,92.8296,6516,0.592805,6525,0.592805,6525,0.99878,7048,0.99878,0.99878
725,3.69304,7026,1.68716,7020,3.03307,6492,3.03285,0,92.9277,6481,0.592711,7022,0.592711,7022,0.998695,6580,0.998695,0.998695
726,3.69506,7086,1.68746,7085,3.03338,7082,3.03311,0,93.0251,6307,0.592606,7078,0.592606,7078,0.998607,6322,0.998607,0.998607
727,3.69708,7040,1.68776,7034,3.03372,7068,3.03338,0,93.1223,6039,0.592501,7037,0.592501,7037,0.998516,5918,0.998516,0.998516
728,3.699,6946,1.68805,6943,3.03402,6990,3.03366,0,93.2192,5788,0.592401,6943,0.592401,6943,0.998422,5707,0.998422,0.998422
729,3.70079,6833,1.68831,6828,3.03427,6867,3.03395,0,93.3204,7189,0.592308,6829,0.592308,6829,0.998321,7188,0.998321,0.998321
730,3.7024,6706,1.68855,6701,3.03445,6737,3.03425,0,93.441,7189,0.592224,6705,0.592224,6705,0.998197,7189,0.998197,0.998197
731,3.70403,4943,1.68879,4937,3.0346,5102,3.03456,0,93.5729,7189,0.59214,4940,0.59214,4940,0.998056,7189,0.998056,0.998056
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.7296,7189,0.592031,2998,0.592031,2998,0.997882,7189,0.997882,0.997882
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.786,6994,0.591916,0,0.591916,0,0.997816,7133,0.997816,0.997816
734,3.71223,7189,1.69,7189,3.03566,7189,3.03553,0,93.9112,5986,0.591714,7189,0.591714,7189,0.997671,5982,0.997671,0.997671
735,3.726,7189,1.69204,7189,3.03976,7189,3.03587,0,94.1743,6098,0.591003,7189,0.591003,7189,0.997347,6081,0.997347,0.997347
736,3.73954,6406,1.69404,6405,3.0487,6378,3.04831,0,92.828,6369,0.590305,6386,0.590305,6386,0.998781,6502,0.998781,0.998781
737,3.74149,6652,1.69433,6614,3.049,6415,3.04857,0,92.9264,6339,0.590205,6646,0.590205,6646,0.998695,6486,0.998695,0.998695
738,3.7436,6842,1.69464,6830,3.04931,6782,3.04883,0,93.0245,6173,0.590096,6828,0.590096,6828,0.998606,6197,0.998606,0.998606
739,3.74573,6815,1.69495,6807,3.04966,6822,3.04911,0,93.1225,5937,0.589987,6806,0.589987,6806,0.998515,5921,0.998515,0.998515
740,3.74774,6719,1.69525,6712,3.04998,6759,3.04939,0,93.2207,5787,0.589884,6707,0.589884,6707,0.99842,5741,0.99842,0.99842
741,3.74955,6592,1.69552,6585,3.05022,6633,3.04968,0,93.3303,7189,0.589791,6579,0.589791,6579,0.998311,7188,0.998311,0.998311
742,3.75107,6393,1.69574,6367,3.05036,6460,3.04998,0,93.4597,7189,0.589713,6361,0.589713,6361,0.998177,7189,0.998177,0.998177
743,3.75249,5335,1.69595,5323,3.05047,5382,3.05029,0,93.5922,7189,0.58964,5347,0.58964,5347,0.998035,7189,0.998035,0.998035
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.73,7161,0.589561,3827,0.589561,3827,0.997882,7155,0.997882,0.997882
745,3.75625,0,1.6965,0,3.05093,0,3.05093,0,93.7887,6794,0.589447,0,0.589447,0,0.997814,6796,0.997814,0.997814
746,3.76997,7189,1.69852,7189,3.05417,7189,3.05127,0,93.931,5891,0.588747,7189,0.588747,7189,0.997647,5877,0.997647,0.997647
747,3.79074,7189,1.70158,7189,3.06015,7189,3.05161,0,94.1955,6026,0.587689,7189,0.587689,7189,0.99732,6014,0.99732,0.99732
748,3.78847,6344,1.70125,6333,3.06474,6303,3.0642,0,92.8268,0,0.587805,6322,0.587805,6322,0.998783,3095,0.998783,0.998783
749,3.79065,6459,1.70157,6441,3.0651,6322,3.06446,0,92.9241,0,0.587694,6448,0.587694,6448,0.998698,6287,0.998698,0.998698
750,3.79306,6651,1.70192,6645,3.06549,6530,3.06472,0,93.0214,3076,0.587572,6636,0.587572,6636,0.998609,6197,0.998609,0.998609
751,3.79552,6623,1.70228,6621,3.06592,6592,3.065,0,93.1187,3039,0.587447,6611,0.587447,6611,0.998517,6068,0.998517,0.998517
752,3.79795,6535,1.70264,6533,3.06633,6538,3.06528,0,93.216,3036,0.587324,6534,0.587324,6534,0.998422,5746,0.998422,0.998422
753,3.80025,6388,1.70298,6381,3.06667,6408,3.06557,0,93.3268,6952,0.587207,6380,0.587207,6380,0.998315,6941,0.998315,0.998315
754,3.80233,6141,1.70328,6134,3.06692,6153,3.06587,0,93.4531,7005,0.587103,6134,0.587103,6134,0.998184,7000,0.998184,0.998184
755,3.80404,5966,1.70353,5961,3.06705,5954,3.06618,0,93.5788,6996,0.587016,5952,0.587016,5952,0.99805,6990,0.99805,0.99805
756,3.80495,5723,1.70367,5719,3.06694,5487,3.0665,0,93.7223,6909,0.58697,5713,0.58697,5713,0.99789,6905,0.99789,0.99789
757,3.82013,7189,1.70589,7189,3.06965,7189,3.06683,0,93.819,6623,0.586204,7189,0.586204,7189,0.997779,6619,0.997779,0.997779
758,3.84997,7189,1.71026,7189,3.07859,7189,3.06717,0,93.9803,5848,0.584707,7189,0.584707,7189,0.997588,5831,0.997588,0.997588
759,3.86966,7189,1.71313,7189,3.0859,7189,3.06751,0,94.2097,5813,0.583726,7189,0.583726,7189,0.997302,5798,0.997302,0.997302
760,3.83604,6211,1.70822,6197,3.08047,6181,3.08025,0,92.8268,0,0.585404,6190,0.585404,6190,0.998783,0,0.998783,0.998783
