zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6587,1.67985,6584,3.01713,6585,3.01703,0,92.8298,6649,0.59529,6599,0.59529,6599,0.99878,7136,0.99878,0.99878
713,3.64561,7163,1.68012,7162,3.01737,6548,3.01729,0,92.9274,6594,0.595195,7162,0.595195,7162,0.998695,6563,0.998695,0.998695
714,3.64761,7163,1.68042,7163,3.0177,7163,3.01755,0,93.0244,6422,0.59509,7162,0.59509,7162,0.998607,6380,0.998607,0.998607
715,3.64968,7163,1.68073,7163,3.01806,7163,3.01782,0,93.1211,6048,0.594981,7162,0.594981,7162,0.998517,6022,0.998517,0.998517
716,3.65168,7163,1.68102,7161,3.0184,7163,3.0181,0,93.2176,5737,0.594876,7160,0.594876,7160,0.998424,5671,0.998424,0.998424
717,3.65349,7022,1.68129,7020,3.01866,7076,3.01838,0,93.3136,5386,0.59478,7011,0.59478,7011,0.998328,5154,0.998328,0.998328
718,3.6552,6875,1.68155,6871,3.01886,6905,3.01868,0,93.4193,7163,0.594691,6867,0.594691,6867,0.99822,7163,0.99822,0.99822
719,3.65685,4331,1.68179,4306,3.01903,6715,3.01899,0,93.5419,7163,0.594604,4291,0.594604,4291,0.99809,7163,0.99809,0.99809
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.7006,7163,0.594491,3160,0.594491,3160,0.997915,7163,0.997915,0.997915
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7875,7154,0.594376,2831,0.594376,2831,0.997816,7145,0.997816,0.997816
722,3.66346,2042,1.68277,0,3.01995,0,3.01995,0,93.8931,6055,0.594257,0,0.594257,0,0.997692,6038,0.997692,0.997692
723,3.67251,7163,1.68412,7163,3.02205,7163,3.02029,0,94.1575,6184,0.593782,7163,0.593782,7163,0.997369,6162,0.997369,0.997369
724,3.69122,6519,1.68689,6517,3.03281,6494,3.03259,0,92.8296,6520,0.592805,6518,0.592805,6518,0.99878,7020,0.99878,0.99878
725,3.69304,7024,1.68716,7015,3.03307,6496,3.03285,0,92.9276,6468,0.592711,7016,0.592711,7016,0.998695,6508,0.998695,0.998695
726,3.69505,7088,1.68746,7081,3.03338,7081,3.03311,0,93.0251,6328,0.592606,7085,0.592606,7085,0.998607,6330,0.998607,0.998607
727,3.69708,7040,1.68776,7041,3.03372,7066,3.03338,0,93.1223,6032,0.592501,7031,0.592501,7031,0.998516,5921,0.998516,0.998516
728,3.699,6946,1.68805,6944,3.03402,6989,3.03366,0,93.2192,5779,0.592401,6937,0.592401,6937,0.998422,5703,0.998422,0.998422
729,3.70079,6833,1.68831,6826,3.03427,6874,3.03395,0,93.3192,7163,0.592308,6824,0.592308,6824,0.998322,7163,0.998322,0.998322
730,3.7024,6705,1.68855,6699,3.03445,6742,3.03425,0,93.4378,7163,0.592224,6700,0.592224,6700,0.998201,7163,0.998201,0.998201
731,3.70403,4943,1.68879,4937,3.0346,5102,3.03456,0,93.5688,7163,0.59214,4940,0.59214,4940,0.998061,7163,0.998061,0.998061
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.7259,7163,0.592031,2998,0.592031,2998,0.997886,7163,0.997886,0.997886
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7858,6997,0.591916,0,0.591916,0,0.997817,7140,0.997817,0.997817
734,3.7116,7163,1.68991,7163,3.03553,0,3.03553,0,93.9112,5987,0.591747,7163,0.591747,7163,0.997671,5985,0.997671,0.997671
735,3.72473,7163,1.69185,7163,3.03931,7163,3.03587,0,94.1742,6099,0.591068,7163,0.591068,7163,0.997347,6085,0.997347,0.997347
736,3.73954,6406,1.69404,6405,3.0487,6379,3.04831,0,92.828,6365,0.590305,6415,0.590305,6415,0.998781,6587,0.998781,0.998781
737,3.74149,6661,1.69433,6654,3.049,6425,3.04857,0,92.9263,6334,0.590205,6653,0.590205,6653,0.998695,6403,0.998695,0.998695
738,3.7436,6841,1.69464,6828,3.04931,6788,3.04883,0,93.0245,6192,0.590096,6827,0.590096,6827,0.998606,6205,0.998606,0.998606
739,3.74572,6818,1.69495,6811,3.04966,6817,3.04911,0,93.1225,5960,0.589987,6807,0.589987,6807,0.998515,5925,0.998515,0.998515
740,3.74774,6719,1.69525,6717,3.04998,6753,3.04939,0,93.2208,5778,0.589884,6710,0.589884,6710,0.99842,5734,0.99842,0.99842
741,3.74955,6591,1.69552,6584,3.05022,6641,3.04968,0,93.3297,7163,0.589791,6596,0.589791,6596,0.998312,7163,0.998312,0.998312
742,3.75107,6385,1.69574,6384,3.05037,6451,3.04998,0,93.4573,7163,0.589713,6360,0.589713,6360,0.99818,7163,0.99818,0.99818
743,3.75249,5340,1.69595,5327,3.05047,5384,3.05029,0,93.5904,7163,0.58964,5297,0.58964,5297,0.998037,7163,0.998037,0.998037
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.7308,7161,0.589561,3827,0.589561,3827,0.997881,7155,0.997881,0.997881
745,3.75625,0,1.6965,0,3.05093,0,3.05093,0,93.7885,6794,0.589447,0,0.589447,0,0.997815,6790,0.997815,0.997815
746,3.76822,7163,1.69827,7163,3.05363,7163,3.05127,0,93.931,5893,0.588836,7163,0.588836,7163,0.997647,5876,0.997647,0.997647
747,3.78834,7163,1.70123,7163,3.05935,7163,3.05161,0,94.1955,6027,0.587811,7163,0.587811,7163,0.99732,5998,0.99732,0.99732
748,3.78847,6342,1.70125,6328,3.06474,6316,3.0642,0,92.8268,0,0.587805,6337,0.587805,6337,0.998783,3095,0.998783,0.998783
749,3.79065,6455,1.70157,6444,3.0651,6357,3.06446,0,92.9241,0,0.587694,6450,0.587694,6450,0.998698,6318,0.998698,0.998698
750,3.79305,6639,1.70192,6641,3.06549,6509,3.06472,0,93.0214,3076,0.587572,6633,0.587572,6633,0.998609,6204,0.998609,0.998609
751,3.79552,6620,1.70228,6619,3.06592,6583,3.065,0,93.1187,3039,0.587447,6605,0.587447,6605,0.998517,6063,0.998517,0.998517
752,3.79795,6543,1.70264,6548,3.06633,6545,3.06528,0,93.216,3036,0.587324,6537,0.587324,6537,0.998422,5820,0.998422,0.998422
753,3.80025,6396,1.70298,6388,3.06667,6414,3.06557,0,93.3268,6952,0.587207,6383,0.587207,6383,0.998315,6948,0.998315,0.998315
754,3.80233,6143,1.70328,6134,3.06693,6158,3.06587,0,93.4526,7004,0.587102,6132,0.587102,6132,0.998185,6998,0.998185,0.998185
755,3.80404,5956,1.70353,5952,3.06705,5941,3.06618,0,93.5795,6999,0.587016,5960,0.587016,5960,0.998049,6994,0.998049,0.998049
756,3.80495,5720,1.70367,5732,3.06694,5507,3.0665,0,93.7231,6910,0.58697,5702,0.58697,5702,0.997889,6911,0.997889,0.997889
757,3.81713,7163,1.70545,7163,3.06886,7163,3.06683,0,93.8189,6618,0.586355,7163,0.586355,7163,0.99778,6612,0.99778,0.99778
758,3.84524,7163,1.70957,7163,3.07721,7163,3.06717,0,93.9803,5851,0.584943,7163,0.584943,7163,0.997588,5832,0.997588,0.997588
759,3.86465,7163,1.7124,7163,3.0843,7163,3.06751,0,94.2097,5816,0.583975,7163,0.583975,7163,0.997302,5801,0.997302,0.997302
760,3.83604,6212,1.70822,6217,3.08047,6185,3.08025,0,92.8268,0,0.585404,6195,0.585404,6195,0.998783,0,0.998783,0.998783
761,3.83826,6234,1.70855,6227,3.08086,6213,3.08051,0,92.9241,0,0.585293,6229,0.585293,6229,0.998698,0,0.998698,0.998698
762,3.84079,6428,1.70892,6411,3.08132,6322,3.08078,0,93.0214,0,0.585166,6412,0.585166,6412,0.99861,0,0.99861,0.99861
763,3.84363,6443,1.70933,6440,3.08185,6400,3.08105,0,93.1187,0,0.585024,6437,0.585024,6437,0.998519,0,0.998519,0.998519
764,3.84664,6347,1.70977,6337,3.08242,6340,3.08134,0,93.216,0,0.584873,6334,0.584873,6334,0.998425,0,0.998425,0.998425
765,3.84969,6220,1.71022,6219,3.08298,6233,3.08163,0,93.3132,0,0.584721,6213,0.584721,6213,0.998329,0,0.998329,0.998329
766,3.85289,6083,1.71069,6079,3.08354,6088,3.08193,0,93.4113,6755,0.584561,6087,0.584561,6087,0.998228,6757,0.998228,0.998228
767,3.85787,7163,1.71141,7163,3.08439,7163,3.08225,0,93.5276,6731,0.584312,7163,0.584312,7163,0.998103,6921,0.998103,0.998103
768,3.88044,7163,1.71471,7163,3.08968,7163,3.08257,0,93.6698,6668,0.58319,7163,0.58319,7163,0.997943,6859,0.997943,0.997943
769,3.92868,7163,1.72173,7163,3.10163,7163,3.0829,0,93.7988,6438,0.580813,7163,0.580813,7163,0.997803,6436,0.997803,0.997803
770,3.99911,7163,1.73192,7163,3.11989,7163,3.08323,0,94.0207,5791,0.577393,7163,0.577393,7163,0.997539,5788,0.997539,0.997539
771,4.02863,7163,1.73618,7163,3.12889,7163,3.08358,0,94.3731,5873,0.575978,7163,0.575978,7163,0.997089,5864,0.997089,0.997089
772,0.734516,7163,1.1693,7163,1.31438,7163,1.07425,0,117.566,7163,0.855214,7163,0.855214,7163,0.88648,7163,0.88648,0.88648
773,0.720367,7163,1.16627,7163,1.33911,7163,1.05163,0,116.684,7163,0.857435,7163,0.857435,7163,0.893495,7163,0.893495,0.893495
774,0.710593,7163,1.16417,7163,1.35942,7163,1.02992,0,115.955,7163,0.85898,7163,0.85898,7163,0.899136,7163,0.899136,0.899136
775,0.72534,7163,1.16733,7163,1.37503,7056,1.00908,0,115.878,7163,0.856652,7163,0.856652,7163,0.899722,7163,0.899722,0.899722
776,0.837748,7163,1.19116,7163,1.37163,7007,1.01108,0,118.426,7163,0.839514,7163,0.839514,7163,0.879434,7163,0.879434,0.879434
777,1.41127,7163,1.306,7163,1.31351,6485,1.03116,0,128.511,7163,0.765697,7163,0.765697,7163,0.782493,7163,0.782493,0.782493
778,4.97808,7163,1.8679,7163,1.22589,5679,1.05125,0,147.402,7163,0.535362,7163,0.535362,7163,0.538743,7163,0.538743,0.538743
779,32.5174,7163,4.15436,7163,1.79432,7163,1.07135,0,163.203,7163,0.240711,7163,0.240711,7163,0.288987,7163,0.288987,0.288987
780,182.073,7163,9.59357,7163,2.506,7163,1.09146,0,170.872,7163,0.104236,7163,0.104236,7163,0.158644,7163,0.158644,0.158644
781,754.278,7163,19.4458,7163,2.85397,7163,1.11159,0,174.913,7163,0.051425,7163,0.051425,7163,0.0886696,7163,0.0886696,0.0886696
782,200.487,7163,10.062,7163,1.79771,7163,1.13172,0,173.064,7163,0.0993839,7163,0.0993839,7163,0.120762,7163,0.120762,0.120762
783,18.9948,7163,3.23997,7163,1.57021,5773,1.15186,0,161.072,7163,0.308645,7163,0.308645,7163,0.324377,7163,0.324377,0.324377
784,0.768749,7163,1.17659,7163,1.24414,7163,1.11924,0,119.664,7163,0.849911,7163,0.849911,7163,0.868945,7163,0.868945,0.868945
785,0.763562,7163,1.17549,7163,1.27369,7163,1.09463,0,119.012,7163,0.850708,7163,0.850708,7163,0.874518,7163,0.874518,0.874518
786,0.750617,7163,1.17274,7163,1.30358,7163,1.07106,0,118.148,7163,0.852707,7163,0.852707,7163,0.88173,7163,0.88173,0.88173
787,0.731417,7163,1.16864,7163,1.33086,7163,1.04846,0,117.147,7163,0.855699,7163,0.855699,7163,0.889842,7163,0.889842,0.889842
788,0.719269,7163,1.16603,7163,1.35266,7163,1.02678,0,116.342,7163,0.857608,7163,0.857608,7163,0.896161,7163,0.896161,0.896161
789,0.732788,7163,1.16893,7163,1.36766,7029,1.00597,0,116.274,7163,0.855484,7163,0.855484,7163,0.896684,7163,0.896684,0.896684
790,0.852056,7163,1.19416,7163,1.36312,6962,1.01424,0,118.967,7163,0.837406,7163,0.837406,7163,0.8749,7163,0.8749,0.8749
