zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,TotAng,TotAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
10267,5.55174,6696,1.94316,6696,1.75201,264,1.75201,0,147.686,6696,180.55,3407,0.514626,6696,0.514626,6696,0.53456,6696,0.53456,0.53456
10268,6.11432,6696,2.01424,6696,1.74821,260,1.74821,0,148.737,6696,180.572,3449,0.496465,6696,0.496465,6696,0.518972,6696,0.518972,0.518972
10269,6.67802,6696,2.08303,6696,1.74429,261,1.74428,0,149.66,6696,180.594,3427,0.48007,6696,0.48007,6696,0.505129,6696,0.505129,0.505129
10270,7.19063,6696,2.14367,6696,1.74024,255,1.74024,0,150.416,6696,180.616,3454,0.46649,6696,0.46649,6696,0.493705,6696,0.493705,0.493705
10271,7.69879,6696,2.20213,6696,1.73609,260,1.73609,0,151.07,6696,180.638,3438,0.454105,6696,0.454105,6696,0.483734,6696,0.483734,0.483734
10272,8.14952,6696,2.25272,6696,1.73182,257,1.73182,0,151.612,6696,180.66,3474,0.443907,6696,0.443907,6696,0.475436,6696,0.475436,0.475436
10273,8.58791,6696,2.30086,6696,1.72745,254,1.72745,0,152.069,6696,180.682,3431,0.43462,6696,0.43462,6696,0.468411,6696,0.468411,0.468411
10274,9.03179,6696,2.34859,6696,1.72298,254,1.72298,0,152.562,6696,180.77,6696,0.425787,6696,0.425787,6696,0.460791,6696,0.460791,0.460791
10275,9.32065,6696,2.37914,6696,1.71841,256,1.71841,0,152.816,6696,180.796,6696,0.420319,6696,0.420319,6696,0.456852,6696,0.456852,0.456852
10276,9.57351,6696,2.40557,6696,1.71375,250,1.71375,0,152.991,6696,180.904,6482,0.415702,6696,0.415702,6696,0.454132,6696,0.454132,0.454132
10277,3.29041,6696,1.62641,6696,1.71131,261,1.71131,0,141.785,6696,180.413,3379,0.614852,6696,0.614852,6696,0.615249,6696,0.615249,0.615249
10278,3.65246,6696,1.68114,6696,1.70824,254,1.70824,0,143.208,6696,180.433,3381,0.594835,6696,0.594835,6696,0.596392,6696,0.596392,0.596392
10279,4.08799,6696,1.7447,6696,1.70504,253,1.70504,0,144.584,6696,180.454,3368,0.573163,6696,0.573163,6696,0.578067,6696,0.578067,0.578067
10280,4.55586,6696,1.81051,6696,1.70172,258,1.70172,0,145.857,6696,180.474,3408,0.552332,6696,0.552332,6696,0.561239,6696,0.561239,0.561239
10281,5.05333,6696,1.87794,6696,1.69826,257,1.69826,0,147.033,6696,180.494,3375,0.532498,6696,0.532498,6696,0.544161,6696,0.544161,0.544161
10282,5.54428,6696,1.9422,6696,1.69469,255,1.69469,0,148.062,6696,180.515,3420,0.51488,6696,0.51488,6696,0.529,6696,0.529,0.529
10283,6.02719,6696,2.0034,6696,1.69099,255,1.69099,0,148.942,6696,180.535,3428,0.499153,6696,0.499153,6696,0.51591,6696,0.51591,0.51591
10284,6.4716,6696,2.05811,6696,1.68718,256,1.68718,0,149.668,6696,180.556,3462,0.485884,6696,0.485884,6696,0.505005,6696,0.505005,0.505005
10285,6.90882,6696,2.11055,6696,1.68326,252,1.68326,0,150.297,6696,180.576,3453,0.473811,6696,0.473811,6696,0.495502,6696,0.495502,0.495502
10286,7.29403,6696,2.15569,6696,1.67922,246,1.67922,0,150.804,6696,180.597,3479,0.463888,6696,0.463888,6696,0.487804,6696,0.487804,0.487804
10287,7.66647,6696,2.19846,6696,1.67508,251,1.67508,0,151.229,6696,180.618,3473,0.454864,6696,0.454864,6696,0.481313,6696,0.481313,0.481313
10288,8.00138,6696,2.23622,6696,1.67083,252,1.67083,0,151.603,6696,180.639,3534,0.447183,6696,0.447183,6696,0.47558,6696,0.47558,0.47558
10289,8.24227,6696,2.26299,6696,1.66649,250,1.66649,0,151.815,6696,180.659,3505,0.441893,6696,0.441893,6696,0.472319,6696,0.472319,0.472319
10290,8.44436,6696,2.28521,6696,1.66205,246,1.66205,0,151.982,6696,180.766,6686,0.437597,6696,0.437597,6696,0.469747,6696,0.469747,0.469747
10291,8.39457,6696,2.27976,6696,1.65752,250,1.65752,0,151.751,6696,180.701,3549,0.438643,6696,0.438643,6696,0.473312,6696,0.473312,0.473312
