zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6588,1.67985,6590,3.01713,6596,3.01703,0,92.8298,6651,0.59529,6568,0.59529,6568,0.998781,6530,0.998781,0.998781
713,3.64552,6560,1.68011,6547,3.01737,6534,3.01729,0,92.9273,6591,0.5952,6560,0.5952,6560,0.998695,6480,0.998695,0.998695
714,3.6473,6696,1.68037,6692,3.01763,6693,3.01755,0,93.0244,6417,0.595106,6695,0.595106,6695,0.998607,6276,0.998607,0.998607
715,3.64918,6697,1.68065,6697,3.01791,6696,3.01782,0,93.1211,6148,0.595007,6696,0.595007,6696,0.998517,5977,0.998517,0.998517
716,3.65115,6697,1.68095,6697,3.01821,6697,3.0181,0,93.2176,5839,0.594903,6696,0.594903,6696,0.998424,5694,0.998424,0.998424
717,3.65317,6697,1.68125,6697,3.01853,6697,3.01838,0,93.3136,5461,0.594797,6697,0.594797,6697,0.998328,5430,0.998328,0.998328
718,3.65512,6697,1.68153,6697,3.01883,6697,3.01868,0,93.4104,0,0.594695,6696,0.594695,6696,0.998229,3318,0.998229,0.998229
719,3.65685,4331,1.68179,4306,3.01902,6695,3.01899,0,93.5104,6697,0.594604,4291,0.594604,4291,0.998124,6696,0.998124,0.998124
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.626,6697,0.594491,3160,0.594491,3160,0.997998,6697,0.997998,0.997998
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7514,6697,0.594376,2831,0.594376,2831,0.997857,6697,0.997857,0.997857
722,3.66346,2043,1.68277,0,3.01995,0,3.01995,0,93.8937,6062,0.594257,0,0.594257,0,0.997692,6037,0.997692,0.997692
723,3.66579,0,1.68312,0,3.02029,0,3.02029,0,94.1571,6180,0.594134,0,0.594134,0,0.997369,6175,0.997369,0.997369
724,3.69122,6517,1.68689,6509,3.03281,6488,3.03259,0,92.8296,6513,0.592805,6493,0.592805,6493,0.99878,6568,0.99878,0.99878
725,3.693,6525,1.68716,6518,3.03307,6490,3.03285,0,92.9276,6463,0.592713,6502,0.592713,6502,0.998695,6518,0.998695,0.998695
726,3.69486,6697,1.68743,6696,3.03334,6694,3.03311,0,93.0251,6328,0.592616,6693,0.592616,6693,0.998607,6373,0.998607,0.998607
727,3.6968,6697,1.68772,6697,3.03363,6697,3.03338,0,93.1223,6143,0.592515,6696,0.592515,6696,0.998516,6008,0.998516,0.998516
728,3.69879,6697,1.68801,6697,3.03394,6697,3.03366,0,93.2193,5874,0.592412,6697,0.592412,6697,0.998422,5772,0.998422,0.998422
729,3.70073,6697,1.6883,6697,3.03424,6697,3.03395,0,93.3157,5696,0.592311,6696,0.592311,6696,0.998326,5586,0.998326,0.998326
730,3.70245,6697,1.68856,6695,3.03447,6697,3.03425,0,93.4118,5447,0.592221,6693,0.592221,6693,0.998228,5358,0.998228,0.998228
