zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6585,1.67985,6583,3.01713,6587,3.01703,0,92.8298,6677,0.59529,6595,0.59529,6595,0.99878,7310,0.99878,0.99878
713,3.64566,7331,1.68013,7318,3.01738,7260,3.01729,0,92.9274,6592,0.595193,7316,0.595193,7316,0.998695,6552,0.998695,0.998695
714,3.64771,7381,1.68043,7379,3.01774,7395,3.01755,0,93.0244,6395,0.595085,7374,0.595085,7374,0.998607,6368,0.998607,0.998607
715,3.64975,7300,1.68074,7299,3.0181,7368,3.01782,0,93.1211,6066,0.594977,7300,0.594977,7300,0.998517,6031,0.998517,0.998517
716,3.65168,7175,1.68102,7172,3.01841,7237,3.0181,0,93.2176,5743,0.594876,7171,0.594876,7171,0.998424,5669,0.998424,0.998424
717,3.65349,7021,1.68129,7015,3.01866,7079,3.01838,0,93.3188,7396,0.594781,7011,0.594781,7011,0.998323,7396,0.998323,0.998323
718,3.65519,6875,1.68155,6869,3.01886,6905,3.01868,0,93.4429,7396,0.594691,6878,0.594691,6878,0.998195,7396,0.998195,0.998195
719,3.65685,4331,1.68179,4306,3.01903,6725,3.01899,0,93.5833,7396,0.594604,4291,0.594604,4291,0.998045,7396,0.998045,0.998045
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.7455,7396,0.594491,3160,0.594491,3160,0.997864,7396,0.997864,0.997864
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7873,7154,0.594376,2831,0.594376,2831,0.997816,7258,0.997816,0.997816
722,3.66524,7396,1.68304,7396,3.02055,7396,3.01995,0,93.8931,6052,0.594163,7396,0.594163,7396,0.997692,6050,0.997692,0.997692
723,3.68036,7396,1.68528,7396,3.02484,7396,3.02029,0,94.1576,6183,0.593372,7396,0.593372,7396,0.997368,6173,0.997368,0.997368
724,3.69122,6522,1.68689,6519,3.03281,6496,3.03259,0,92.8296,6522,0.592805,6520,0.592805,6520,0.99878,7049,0.99878,0.99878
725,3.69304,7035,1.68716,7016,3.03307,6485,3.03285,0,92.9276,6473,0.592711,7017,0.592711,7017,0.998695,6499,0.998695,0.998695
726,3.69506,7091,1.68746,7079,3.03338,7083,3.03311,0,93.0251,6297,0.592606,7077,0.592606,7077,0.998607,6311,0.998607,0.998607
727,3.69708,7043,1.68776,7036,3.03372,7075,3.03338,0,93.1223,6054,0.592501,7033,0.592501,7033,0.998516,5922,0.998516,0.998516
728,3.69899,6944,1.68805,6939,3.03402,6989,3.03366,0,93.2192,5771,0.592401,6936,0.592401,6936,0.998422,5705,0.998422,0.998422
729,3.70079,6831,1.68831,6827,3.03427,6869,3.03395,0,93.3319,7396,0.592308,6824,0.592308,6824,0.99831,7396,0.99831,0.99831
730,3.7024,6706,1.68855,6708,3.03445,6735,3.03425,0,93.4658,7396,0.592224,6703,0.592224,6703,0.998171,7396,0.998171,0.998171
731,3.70403,4943,1.68879,4937,3.0346,5102,3.03456,0,93.6075,7396,0.59214,4940,0.59214,4940,0.998018,7396,0.998018,0.998018
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.7488,7378,0.592031,2998,0.592031,2998,0.99786,7371,0.99786,0.99786
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7856,6996,0.591916,0,0.591916,0,0.997817,7134,0.997817,0.997817
734,3.71995,7396,1.69115,7396,3.03833,7396,3.03553,0,93.9112,5984,0.591315,7396,0.591315,7396,0.997671,5969,0.997671,0.997671
735,3.73816,7396,1.69384,7396,3.04389,7396,3.03587,0,94.1743,6107,0.590376,7396,0.590376,7396,0.997347,6095,0.997347,0.997347
736,3.73954,6418,1.69404,6405,3.0487,6382,3.04831,0,92.828,6369,0.590305,6414,0.590305,6414,0.998781,6482,0.998781,0.998781
737,3.74149,6656,1.69433,6619,3.049,6415,3.04857,0,92.9263,6325,0.590205,6588,0.590205,6588,0.998695,6397,0.998695,0.998695
738,3.7436,6838,1.69464,6830,3.04931,6777,3.04883,0,93.0245,6185,0.590096,6839,0.590096,6839,0.998606,6192,0.998606,0.998606
739,3.74572,6819,1.69495,6816,3.04966,6821,3.04911,0,93.1225,5921,0.589987,6809,0.589987,6809,0.998515,5926,0.998515,0.998515
740,3.74774,6718,1.69525,6712,3.04998,6758,3.04939,0,93.2207,5757,0.589884,6722,0.589884,6722,0.99842,5737,0.99842,0.99842
741,3.74955,6594,1.69552,6584,3.05022,6639,3.04968,0,93.331,7264,0.589791,6582,0.589791,6582,0.998311,7260,0.998311,0.998311
742,3.75107,6394,1.69574,6390,3.05037,6447,3.04998,0,93.4656,7339,0.589713,6368,0.589713,6368,0.998171,7335,0.998171,0.998171
743,3.75249,5335,1.69595,5323,3.05047,5382,3.05029,0,93.5978,7297,0.58964,5347,0.58964,5347,0.998029,7292,0.998029,0.998029
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.7307,7162,0.589561,3827,0.589561,3827,0.99788,7325,0.99788,0.99788
745,3.76257,7396,1.69744,7396,3.05155,7396,3.05093,0,93.7883,6793,0.589124,7396,0.589124,7396,0.997815,6786,0.997815,0.997815
746,3.78897,7396,1.70132,7396,3.06021,7396,3.05127,0,93.931,5896,0.587779,7396,0.587779,7396,0.997647,5885,0.997647,0.997647
747,3.81368,7396,1.70495,7396,3.06766,7396,3.05161,0,94.1956,6030,0.586529,7396,0.586529,7396,0.99732,6001,0.99732,0.99732
748,3.78847,6343,1.70125,6333,3.06474,6305,3.0642,0,92.8268,0,0.587805,6322,0.587805,6322,0.998783,3095,0.998783,0.998783
749,3.79065,6460,1.70157,6444,3.0651,6333,3.06446,0,92.9241,0,0.587694,6440,0.587694,6440,0.998698,6314,0.998698,0.998698
750,3.79305,6642,1.70192,6633,3.06549,6517,3.06472,0,93.0214,3076,0.587572,6633,0.587572,6633,0.998609,6191,0.998609,0.998609
751,3.79552,6620,1.70228,6616,3.06592,6583,3.065,0,93.1187,3039,0.587447,6617,0.587447,6617,0.998517,6071,0.998517,0.998517
752,3.79795,6539,1.70264,6533,3.06633,6546,3.06528,0,93.216,3036,0.587324,6530,0.587324,6530,0.998422,5740,0.998422,0.998422
753,3.80025,6392,1.70298,6389,3.06667,6408,3.06557,0,93.3266,6955,0.587207,6394,0.587207,6394,0.998315,6948,0.998315,0.998315
754,3.80233,6141,1.70328,6132,3.06693,6146,3.06587,0,93.4529,7004,0.587102,6126,0.587102,6126,0.998185,7002,0.998185,0.998185
