zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64378,6298,1.67985,6297,3.01712,6298,3.01703,0,92.8296,6297,0.595292,6292,0.595292,6292,0.998781,6258,0.998781,0.998781
713,3.6455,6298,1.6801,6296,3.01737,6295,3.01729,0,92.927,6293,0.595201,6291,0.595201,6291,0.998695,6222,0.998695,0.998695
714,3.64728,6297,1.68037,6293,3.01762,6298,3.01755,0,93.0242,6278,0.595107,6293,0.595107,6293,0.998607,6158,0.998607,0.998607
715,3.64911,6299,1.68064,6299,3.01789,6295,3.01782,0,93.1211,6090,0.595011,6292,0.595011,6292,0.998517,5920,0.998517,0.998517
716,3.65101,6298,1.68092,6298,3.01817,6299,3.0181,0,93.2176,5744,0.594911,6293,0.594911,6293,0.998424,5613,0.998424,0.998424
717,3.65294,6298,1.68121,6296,3.01845,6296,3.01838,0,93.3136,5461,0.594809,6294,0.594809,6294,0.998328,5428,0.998328,0.998328
718,3.6549,6299,1.6815,6296,3.01875,6299,3.01868,0,93.4104,0,0.594706,6297,0.594706,6297,0.998229,3318,0.998229,0.998229
719,3.65685,4331,1.68179,4306,3.01901,5126,3.01899,0,93.5076,0,0.594604,4291,0.594604,4291,0.998127,0,0.998127,0.998127
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.6131,6299,0.594491,3160,0.594491,3160,0.998012,6299,0.998012,0.998012
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7342,6299,0.594376,2831,0.594376,2831,0.997877,6298,0.997877,0.997877
722,3.66346,2042,1.68277,0,3.01995,0,3.01995,0,93.8932,6040,0.594257,0,0.594257,0,0.997692,6040,0.997692,0.997692
723,3.66579,0,1.68312,0,3.02029,0,3.02029,0,94.1575,6197,0.594134,0,0.594134,0,0.997368,6188,0.997368,0.997368
724,3.69119,6299,1.68689,6299,3.0328,6299,3.03259,0,92.8296,6299,0.592807,6299,0.592807,6299,0.998781,6241,0.998781,0.998781
725,3.69297,6298,1.68715,6299,3.03306,6298,3.03285,0,92.9273,6292,0.592714,6298,0.592714,6298,0.998695,6244,0.998695,0.998695
726,3.6948,6299,1.68742,6299,3.03333,6296,3.03311,0,93.0249,6244,0.592619,6295,0.592619,6295,0.998607,6148,0.998607,0.998607
727,3.69667,6299,1.6877,6297,3.03359,6298,3.03338,0,93.1223,6044,0.592522,6299,0.592522,6299,0.998515,6082,0.998515,0.998515
728,3.69855,6299,1.68798,6298,3.03387,6297,3.03366,0,93.2192,5816,0.592424,6297,0.592424,6297,0.998422,5795,0.998422,0.998422
729,3.70044,6299,1.68826,6298,3.03414,6297,3.03395,0,93.3159,6075,0.592326,6299,0.592326,6299,0.998326,5989,0.998326,0.998326
730,3.70227,6299,1.68853,6299,3.03439,6298,3.03425,0,93.4118,5589,0.592231,6295,0.592231,6295,0.998228,5431,0.998228,0.998228
731,3.70403,4943,1.68879,4937,3.0346,5100,3.03456,0,93.5098,6299,0.59214,4940,0.59214,4940,0.998124,6297,0.998124,0.998124
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.6234,6299,0.592031,2998,0.592031,2998,0.998001,6298,0.998001,0.998001
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7474,6299,0.591916,0,0.591916,0,0.997862,6299,0.997862,0.997862
